Misconception,Misconception ID,Topic,Example Number,Question,Incorrect Answer,Correct Answer,Question image,Learner Answer image,Correct Answer image,Source,Explanation
"when students mistakenly position the decimal point left of the sum, assuming units and tenths combine separately",MaE16,Number Operations,4,0.5+0.8=,".5
+.8
------
.13",0.5+0.8=1.3,,,,Ashlock (2006),
"when students misunderstand algebraic terms and equations involving exponents, such as numerical bases raised to algebraic powers, or algebraic expressions raised to numerical or algebraic powers.",MaE04,Number sense,1,(z -4)^2=,"(z -4)^2=
(z-4)(z+4)=z^2+4z-4z-16=z^2-16",z^2-8z+16,,,,Pinchback (1991),"This example shows the lack of understanding that algebra students have regarding exponents. This learner for example, interpreted the expression (z-4)^2 as (z-4)(z+4) "
"when students interchange minuend and subtrahend, reversing subtraction order, causing calculation errors, especially in equations or expressions",MaE33,Properties of number and operations,3,"Solve for n:
16n-215=265","16n-215-265=0
16n=265-215=50
n=50/16
n=3.125",n=30,,,,"L Linchevski, N Herscovics (1996)
p. 46","The learner tried to use reverse operations, but got confused with the negative signs and inverted the operation"
"when students incorrectly assume the commutative and associative properties apply to subtraction and division, akin to the ""Switch-Around Rule.""",MaE31,Properties of number and operations,2,"Find the missing number:
23=2+5+__+4+6","23=7+__+10
23=17+__
It's the same if I do 23-17 or 23+17, it's the switch-around rule
23+17=40","23=7+__+10
23=17+__
23-17=6
6 is the missing number",,,,Warren (2003),"The learner did not realize that 17 had to be subtracted from 23 in order to find the correct answer. This misconception is related to the belief that commutative and associative properties are true for subtraction and division, or in other words, that the ""Switch-Around Rule"" is always true."
"when students misunderstand how to identify and use equivalent forms of ratios, including fractions and decimals",MaE26,Ratios and proportional reasoning,2,Represent (1/3)*a as a ratio,1/3a,a/3,,,,"Brown, G., & Quinn, R. J. (2006) 
p. 6","The learner did not recognize that one third of any number produces a ratio, instead seems to think that the fraction implies a division and got confused on how to represent it"
when students confuse linear and exponential functions' properties and representations.,MaE39,"Patterns, relationships, and functions",1,Determine whether a situation of 3^(x-1) repeated 6 times would produce a greater yield than 2^(x-1) repeated 64 times. Do you predict this situation will be linear or exponential? How do you know? What did you think about to help you make this prediction?,"The second situation will produce a greater yield, because it is repeated more thimes. I predict this situation would be linear, because x-1 is a linear relationship. To help me make this prediction, I thought about an example from previous classes, where x-1 was a linear situation.",The situation will be exponential in both cases because each term is raised to a power that includes a variable x.,,,,"LA Kasmer, OK Kim  (2012)
p. 12","The learner gets confused between a linear and an exponential function, because the exponent includes a linear expression."
"when students misunderstand how to identify and use equivalent forms of ratios, including fractions and decimals",MaE26,Ratios and proportional reasoning,4,You had a picture on your computer and you made it 3/4 (75%) of its original size. You changed your mind and now you want it back to its original size again. What fraction of its present size should you tell the computer to make it in order to restore its original size?,"To get it at 3/4 you had to do 75% of the original. So that means you took off 25% of its size. To get it back, you should enlarge it 25% by setting the number at 125%, or 1.25",4/3 (the inverse of 3/4),,,,"Lamon 2012
(no link)",
when students struggle to grasp that variables can represent changing or varying quantities,MaE48,"Variables, expressions, and operations",4,What can you say about c if c+d=10 and c is less than d?,c=4,"c can be equal to any number between 0 and 4, depending on the value of d",,,,"Kuchemann (1978)
p.3",The learner fails to understand that the variable c can take different values to make the equation true
"when students struggle to recognize when to combine like terms, failing to add or subtract terms with the same variable, as in 4x+2x+x=7x",MaE55,Equations and inequalities,2,Solve: 3x+2x=50,"x=0
30+20=50",x=10,,,,"Ashlock, 2006",
when students struggle to grasp that variables can represent changing or varying quantities,MaE48,"Variables, expressions, and operations",1,"A store is having a sale. They have advertised 10% off everything in the store. They also have just purchased a new shipment of computer games. These games cost the store $32.11 each. They want to price the game so that they will make at least a 40% profit, even at the sale price. What is the lowest regular selling price  for the game that will allow this profit? 
Use x to represent the regular selling price of the game and state an equation to solve this problem. 
If the store changed the % off in the store, would x continue representing the selling price? What would change in your equation?","[32.11 + .4(32.11)] = x - .1x
32.11 + 12.844 = x(1 - .1)
44.954 = x(.9)
49.94888.. = x
x = $49.90
The regular selling price should be at least $49.90 
If the offer changes, x cannot represent the selling price anymore, two different letters will be needed to solve the new problem.","x = $49.95
If the offer changes, x will continue representing the selling price, the only thing that changes is the decimal number that multiplies x",,,,"Bair, S. L., & Rich, B. S.  2011
p. 12","The learner fails to understand that variables can represent varying quantities, so can be used to solve the same problem with different values for the selling price, the discount or any other quantity"
when students confuse linear and exponential functions' properties and representations.,MaE39,"Patterns, relationships, and functions",2,"Consider a coin collection with an initial value of $2,500 that increased in value by 6% each year. Generate a table showing the value of the collection each year for 10 years and determine the growth factor of this situation. Do you predict the increase in coin value would be linear, exponential, or something else? Explain why.","The increase in coin value would be something else. The reason it's not linear is it doesn't always increase the same amount. The reason it's not exponential is the #'s don't double or triple. In this case every year goes by and the value increases, but 6% comes out of the higher value every year to add on.",Exponential because it's not going at a constant rate and its growth factor is 1 .06 from 2500 to 2650 and also 2650 to 2809 has a growth factor of 1.06. So if it keeps multiplying by 1.06 then its exponential growth,,,,"LA Kasmer, OK Kim  (2012)
p. 7","This vignette demonstrates the prediction question afforded the student an opportunity to make an explicit connection to attributes of linear (""doesn't always increase the same amount"") and exponential (""the #s don't double or triple"") relationships. Although the response is not mathematically accurate, as this in fact is considered an exponential relationship, the prediction response was coded as logical because it revealed an initial understanding of compound growth. The student seemed to regard exponential growth only as whole number growth factors and perhaps those that only double and triple, but recognized the addition of 6% value each year from the previous year."
"when students subtract mixed numbers incorrectly, avoiding regrouping and just subtracting the smaller from the larger number",MaE10,Number Operations,3,Solve 6-1 1/4=,6-1 1/4=5 1/4,4 3/4,,,,Ashlock (2006),
"when Students think longer numerals mean larger numbers, misunderstanding place value",MaE05,Number sense,4,"Fill in the blank with >, < or =
0.2 __ 0.03",0.2 < 0.03,0.2 > 0.03,,,,"Ashlock, 2006
p. 140",
"when students wrongly subtract mixed numbers by separately subtracting wholes, numerators, and denominators to form a new fraction",MaE11,Number Operations,3,5 3/8-2 2/3=,5 3/8-2 2/3=(5-3)+(3-2)/(8-3)=3 1/5,65/24,,,,Ashlock (2006),"Chuck is subtracting by first finding the difference between the two whole numbers and recording that difference as the new whole number. He then finds the difference between the two numerators and records that difference as the new numerator. Finally, he finds the difference between the two denominators and records that number as the new denominator."
"when students incorrectly assume the commutative and associative properties apply to subtraction and division, akin to the ""Switch-Around Rule.""",MaE31,Properties of number and operations,4,"Sarah shares $15.40 among some of her friends. She gives the same amount to each person.
(a) How many people might there be and how much would each receive? (Give at least 3 answers)
(b) Explain in writing how to work out more answers.","3*5= 15, so 3 friends can share the money but I don't know what to do with the 40 cents, because there's no way to share evenly 40 cents with 3 people. Since 3 times 5 is the same as 5 times 3, 15.4 shared by 3 has to be the same as 15.4 shared by 5, then we can also share the 15.4 dollars with 5 people, but we ignore the 40 cents.","You can share $15.40 among 2, 4, and 7 people:
$15.4÷2= $7.70
$15.4÷4= $3.85
$15.4÷7= $2.20
This way, everyone gets the same amount. You can give more answers if you divide 15.40 by more numbers",,,,Warren (2003),"The learner believes that 3÷4=4÷3. Plus, the student did not realize that dividing 0.40 by 3 is not the same as dividing 4 by 3"
"when students incorrectly scale both numerator and denominator by the same whole number, effectively multiplying the fraction by 1 instead of the intended whole number",MaE13,Number Operations,2,1/4*6=,1/4*6=(1*6)/(4*6)=6/24,6/4=3/2,,,,"Ashlock (2006)
p. 173",
"when students fail to regroup in subtraction, mistakenly subtracting the larger number from the smaller",MaE21,Number Operations,1,253-179=,"253
- 179
----------
 126",74,,,,"Ashlock, 2006
p. 72",
when students struggle to grasp the concept that a linear function represents a consistent rate of change,MaE38,"Patterns, relationships, and functions",1,"Water is being pumped into a swimming pool. The graph indicates that the pool held 6 gallons of water after 3 minutes, 10 gallons after 5 minutes, and 18 gallons after 9 minutes. Find the slope of the line.","[The learner counted 3 boxes along the base of the stair step and 2 boxes along the side of the stair step and recorded the slope as 2/3. She repeated this procedure, using the points (3,6) and (5,10). She found the run by counting 2 boxes along the base of her second stair step, and she apparently determined the rise by rounding the number of boxes along the side of the stair step to 1 box. She recorded a second slope of 1/2.]
It has different amounts on the sides and the rise and the runs, the slope for this line changed.
[The learner is then asked to draw a line with a slope that did not change. She plotted a point on the graph, went up 4 and over 2, plotted a new point, went up 4 and over 2, plotted a point, and then connected the points.]",The slope is 2 gallons/min,,MaE38-Ex1LA,,"Lobato, 2010
p. 66","This process suggests that she did not connect linearity and proportionality. Instead, she apparently associated slope with the idea of stairs of identical size rather than with a ratio that is invariant despite changes in particular “rise” and “run” values."
"when students struggle to accurately represent problems using graphical notation, misunderstanding the purpose of the representation",MaE36,"Patterns, relationships, and functions",4,"Marcus is at the music store buying guitar strings for his band. If there are 3 guitar players in the band, and each guitar has 6 strings, how many things should Marcus buy?",[The learner's answer is a graphic representation of only a guitar with 6 strings],"A diagram of 3 guitars with 6 strings each, or 3 sets of 6 strings each, like:
||||||   ||||||   ||||||",,MaE36-Ex4LA,MaE36-Ex4CA,"Scheuermann and van Garderen (2013)
p. 4","The learner's picture represents the guitar, but seems to misunderstand the purpose of representinng the problem, because the student drew only one guitar and did not relate it to the problem."
"when students incorrectly invert the dividend instead of the divisor when dividing fractions, misunderstanding the 'invert and multiply' rule.",MaE15,Number Operations,3,3/4÷1/5=?,3/4÷1/5=4/3*1/5=4/15,15/4,,,,"Ashlock (2006)
p. 175",
when students incorrectly apply a single proportion formula to all percentage problems: (smaller value)/(larger value) = (x/100),MaE29,Ratios and proportional reasoning,1,Jim correctly solved 88% of 50 test items. How many items did he have correct?,"(50/88)=(x/100)
57 items",44 items,,,,"Ashlock (2006)
p. 187","Sara successfully solved percent problems when the class first solved them, but as different types of problems were encountered, she began to have difficulty. Sara is solving correctly the proportion she writes for the problem. However, she uses a procedure that often does not accurately represent the ratios described in the problem. She is using the following proportion for every problem encountered:
(lesser number in the problem)/(greater number in the problem)=x/100"
"when students mistakenly perceive variables as labels or units, or associate their value with their alphabetical position",MaE46,"Variables, expressions, and operations",2,David is 10 cm taller than Con. Con is h cm tall. What can you write for David's height?,"Dh
D stands for David's and h for height. Dh is David's height",h+10,,,,"Stacey and MacGregor, 1997b
p. 2","This abbreviation stands for the words ""David's height"""
"when students incorrectly scale both numerator and denominator by the same whole number, effectively multiplying the fraction by 1 instead of the intended whole number",MaE13,Number Operations,1,2/3*3=,2/3*3=(2*3)/(3*3)=6/9,6/3=2,,,,"Ashlock (2006)
p. 173",
"when students incorrectly assume the commutative and associative properties apply to subtraction and division, akin to the ""Switch-Around Rule.""",MaE31,Properties of number and operations,3,"True or false?
2÷3=3÷2","True, because of the switch-around rule",False. Commutative and associative properties are not true for division,,,,Warren (2003),
"when students struggle to discern the three types of percent problems, relying solely on ""percent times a number equals percentage"" rule",MaE30,Ratios and proportional reasoning,2,What percent of 40 is 28?,"40*.28=11.20
11.2",70%,,,,"Ashlock (2006)
p. 192",
when students find common denominators but wrongly keep the original numerators unchanged,MaE09,Number Operations,2,Add 2/5+1/2=?,"2/5 = 2/10
+         +
1/2 = 1/10
----     ----
          3/10",9/10,,,,"Ashlock, 2006","The learner incorrectly made 1/2 equal to 1/10, failed to change 1/2 into an equivalent form in tenths"
"when students struggle to accurately represent problems using graphical notation, misunderstanding the purpose of the representation",MaE36,"Patterns, relationships, and functions",1,Logan and Luis had the same amount of marbles after Logan gave 12 individual marbles to Haley. Logan had 5 equal bags. Luis had 3 marbles. How many marbles were in one of Logan's bags?,"[Graphic representation: The learner drew 4 lines of circles trying to represent the marbles only. On the first line, he drew 12, on the second line he drew 3, on the third line he drew 5, and on the fourth line he drew 3 again. There's no representation for the bags, nor labels to specify the marbles that belong to Logan or Luis.]","Inferring that Logan's bags have equal amounts of marbles, each bag should have 3 (15 marbles in total, because 12+3=15 -12 he gave to Haley, plus 3 he was left with). An accurate representation would contain a drawing to represent each of Logan's bag, the 12 individual marbles he gave to Haley and the 3 marbles that both Logan and Luis had after the sharing.",,MaE36-Ex1LA,,"Scheuermann and van Garderen (2008)
p. 4 ","The learner did not understand the purpose of the representation, drawinng only some marbles but with no relationship with the problem"
"when students lack unitization skills, unable to treat ratios as composite units to solve problems systematically.",MaE27,Ratios and proportional reasoning,2,"To bake 6 cakes, you need 15 eggs. Using the same recipe, how many eggs do you need to bake 4 cakes?","In 2, 4, 6 there are three and all are times 2. Then 15 divides 3 because 1,2,3, got three. 2 cakes - 5 eggs, 4 cakes - 10 eggs, and 6 cakes you need 15 eggs
[The teacher asked: How do you know that for 2 cakes you need 5 eggs? The student replied: Because I divided 6 cakes and 15 eggs by 3. Because in 2, 4, 6 there are one, two, three, so I divided by 3]","(15 eggs)/(6 cakes)=2.5 eggs/cake
(2.5 eggs/cake)*(4 cakes)=10 eggs
10 eggs",,,,"Singh, 2000
p. 10",
"when students incorrectly assume two variables in an equation must represent distinct numerical values, rather than potentially representing the same expression",MaE47,"Variables, expressions, and operations",2,"Ricardo has 8 pet mice. He keeps them in two cages that are connected so that the mice can go back and forth between the cages. One of the cages is blue, and the other is green. Show all the ways that 8 mice can be in two cages.
The situation can be represented by the equation  b + g = 8, where b represents the blue cage and g the green cage.
Can b=g be true?","b can't be the same as g, because the letters represent different things","b=g is true when there are 4 mice in each box, so b = g is true for number 4",,,,"Stephens (2005)
p. 2-4",
"when students misunderstand numerical exponent patterns, resorting to computation instead of recognizing generalizable patterns.",MaE03,Number sense,2,Evaluate: (2^9)(3^4)(5^6)=,"2^9 = 2+2+2+2+2+2+2+2+2=18
3^4=3+3+3+3=12
5^6=5+5+5+5+5+5=30
18*12*30=6480",648000000,,,,"Slavit, D. 2006
p. 3, 5
Modifiqué la pregunta y respuesta de estudiante",The learners confuse the exponent with a factor and add the base instead of multiplying it by itself. 
"when students extend quotients with remainders as decimals, if division isn't exact within the dividend's digits",MaE22,Number Operations,1,2.57÷3=?,[Image],0.8567,,MaE22-Ex1LA,,"Ashlock (2006)
p. 183","Ted has incorrect quotients because of the way he handles reminders. Id division does not ""come out even"" when taken as far as digits given in the dividend, Ted writes the reminder as an extension of the quotient. He may believe this is the same as writing R2 after the quotient for a division problem with whole numbers."
"when students wrongly divide fractions by splitting numerators and denominators into separate divisions, ignoring remainders",MaE14,Number Operations,2,6/8÷2/8=?,6/8÷2/8=3/1,3,,,,"Ashlock (2006)
p. 174","The learner got a correct answer, however he did not apply the correct algorithm"
"when students incorrectly assume the commutative and associative properties apply to subtraction and division, akin to the ""Switch-Around Rule.""",MaE31,Properties of number and operations,1,"Write the “Switch-Around Rule” in your own words, and give examples to show if it’s always, sometimes, or rarely true.",The switch-around rule says 2-1=1 and 1-2=1,"The switch-around rule is not always true, it applies only for addition and multiplication. For example: 7+3=10 and 3+7=10, but 7-3=4 and 3-7=-4, it's not the same",,,,"Schifter et al, (2008)","Many of the children interpret the switch-around rule to apply to other operations, even though the rule was written “when two numbers are added together.” Some children consider addition, subtraction, multiplication, and division; others addition and subtraction; and some specify that the switch-around rule is about addition."
when students neglect to check their solutions or make errors during the checking process,MaE52,Equations and inequalities,3,"Solve m-3=4m
And check your answer","Solving: m=3m
m=3
Checking
[nothing]","m=-1
Check:
-3-3=4(-1)
-4=-4",,,,"Perrenet, J. C., & Wolters, M. A. 
(1994)
p.5",
when students struggle to grasp the concept that a linear function represents a consistent rate of change,MaE38,"Patterns, relationships, and functions",4,Crystal placed a bucket under a faucet and collected 6 ounces of water in 20 minutes. Joanne placed a bucket under a second faucet and collected 3 ounces of water in 10 minutes. Were the faucets dripping equally fast or was one dropping faster than the other?,"Crystal's faucet is dripping more slowly than Joanne's because it took its time. 
No, Crystal's faucet is dripping faster because both amounts, time and water, for Crystal's faucet are greater than the corresponding amounts for Joanne's faucet.","The faucets were dripping equally fast, because 6/20=3/10 and both proportions are linear relationships",,,,"Lobato, J. (2010)

p. 19",This response indicates that she did not form a ratio between the amount of water and the amount of time
"when students wrongly subtract mixed numbers by separately subtracting wholes, numerators, and denominators to form a new fraction",MaE11,Number Operations,4,7 2/5-4 7/10=,7 2/5-4 7/10=(7-4)+(7-2)/(10-5)=3 5/5,27/10,,,,Ashlock (2006),
when students are unsure of the correct sign when adding positive and negative numbers,MaE18,Number Operations,1,-8+6=,-8+6=2,-2,,,,"Ashlock, 2006",
when students incorrectly add or subtract fractions by summing both numerators and denominators separately,MaE08,Number Operations,2,1/4+2/3=,1/4+2/3=3/7,11/12,,,,Ashlock (2006),The learner added the numerator and the denominators
"when students mistakenly perceive variables as labels or units, or associate their value with their alphabetical position",MaE46,"Variables, expressions, and operations",3,"Given the equation: a=28+b
Which of the following would be true?
(i) a is greater than b
(ii) b is greater than a
(iii) a=28
(iv) you cannot tell which number is greater","b is greater because it has 28 added to it, whereas a has nothing added to it",(iv) you cannot tell which number is greater,,,,"Stacey and MacGregor, 1997b
p. 2",
"when students lack unitization skills, unable to treat ratios as composite units to solve problems systematically.",MaE27,Ratios and proportional reasoning,3,"Adrian has conquered only 6 giants in his new video game, Giant Trouble, but this is only two-fifths of the giants that he must conquer. How many giants are there in the new video game?","6 2/5 = 32/5, then there are 32 giants
32 giants","(6 giants)/(2/5 total)=(? giants)/(1 total)
6÷(2/5)=30/2=15
15 giants in total",,,,"Brown, G., & Quinn, R. J. (2006)
p. 5","The learners did not compare the ratio, instead only arranged the numbers in a familiar form and then applied an algorithm that they believe fits the form"
"when students wrongly subtract mixed numbers by separately subtracting wholes, numerators, and denominators to form a new fraction",MaE11,Number Operations,1,6 2/3-3 1/6=,6 2/3-3 1/6=(6-3)+(2-1)/(6-3)=3 1/3,7/2,,,,Ashlock (2006),
"when Students think longer numerals mean larger numbers, misunderstanding place value",MaE05,Number sense,3,"Fill in the blank with >, < or =
0.001 __ 0.02",0.001 > 0.02,0.001 < 0.02,,,,"Ashlock, 2006
p. 140",
"when students make reversal order errors, swapping variables in equations, such as writing 2X=Y instead of X=2Y",MaE54,Equations and inequalities,3,"Write an equation to represent the following statement: ‘At this company, there are six times as many workers as managers’. Assuming that the variable W represents the number of workers and M the number of managers.",6W=M,W=6M,,,,"Soneira, C., Bansilal, S., Govender, R. (2021)
p. 3",
when students mistakenly switch variables when transposing expressions involving subtraction,MaE45,"Variables, expressions, and operations",3,"At a meeting there are five more women than men. There are 25 women.
How many men are there?",M=W+5=25+5=30,M=W-5=25-5=20,,,,"Stacey, K & MacGregor M (2014)

p. 5",The learner transposed the variables
"when students misunderstand algebraic terms and equations involving exponents, such as numerical bases raised to algebraic powers, or algebraic expressions raised to numerical or algebraic powers.",MaE04,Number sense,2,(z -4)^2=,(z-4)^2=(z+2)(z-2),z^2-8z+16,,,,Pinchback (1991),"This example shows the lack of understanding that algebra students have regarding exponents. This learner for example, interpreted the expression (z-4)^2 as (z+2)(z-2)"
when students find common denominators but wrongly keep the original numerators unchanged,MaE09,Number Operations,3,Add 3/5+1/3=?,"3/5 = 3/15
+        +
1/3 = 1/15
 ----     ----
           4/15",14/15,,,,"Ashlock, 2006",
when students neglect to check their solutions or make errors during the checking process,MaE52,Equations and inequalities,4,Solve 4p+40=60 and check your answer,"Solving: 4p=20
p=5
Checking: 5+5+5+5=20
60-40=20","p=5
Check:
4(5)+40=60
20+40=60
60=60",,,,"Perrenet, J. C., & Wolters, M. A. 
(1994)
p.5",
"when students misunderstand numerical exponent patterns, resorting to computation instead of recognizing generalizable patterns.",MaE03,Number sense,4,Evaluate: 9^3-5^4 =,9^3-5^4=9+9+9-(5+5+5+5)=27-20=7,104,,,,"Bush, Sarah B., 2011
p. 238",The lerner interpreted the exponents as factors and added repeatedly instead of multiplying
"when students subtract mixed numbers incorrectly, avoiding regrouping and just subtracting the smaller from the larger number",MaE10,Number Operations,4,Subtract 1/3 from 1,"1 
   -     1/3
-------------
        1 1/3",2/3,,,,"Ashlock, 2006",
when students fail to see ratios as relationships between two quantities,MaE28,Ratios and proportional reasoning,1,"Bart is publicity painter. In the last few days, he had to paint Christmas decorations on several store windows. Yesterday, he made a drawing of a 56 cm high Father Christmas on the door of a bakery. He needed 6 ml paint.  Now he is asked to make an enlarged version of the same drawing on a supermarket window. This copy should be 168 cm high. How much paint will Bart approximately need to do this?","You need more data, for instance the width",54 ml,,,,"De Bock, D., Van Dooren, W., Verschaffel, L., & Janssens, D. (2002)
p. 8",The learner did not recognize the ratio of the height of the figure to the amount of paint needed
"when students struggle to connect different representations of the same function (graph, equation, table).",MaE41,"Patterns, relationships, and functions",1,What shape would the graph of the function y=x^2+1 have? Elaborate a data table and sketch the graph.,[Image],"Table
x | -1.2 | -1 | -0.8 | -0.6 | -0.4 | -0.2 | 0 | 0.2 | 0.4 | 0.6 | 0.8 | 1 | 1.2
y  2.44 | 2 | 1.64 | 1.36 | 1.16 | 1.04 | 1 | 1.04 | 1.16 | 1.36 | 1.64 | 2 | 2.44
[Graph in the Image]",,MaE41-Ex1LA,MaE41-Ex1CA,"Kalchman, M., & Koedinger, K. R.  2005
p. 358","The learner seemed to read incorrectly the numbers from the x- and y- axes, rounding the numbers, and did not see the connection between the graph and the data table"
"when students make reversal order errors, swapping variables in equations, such as writing 2X=Y instead of X=2Y",MaE54,Equations and inequalities,4,"Write an expression that could be used to represent the number of rows, if there were n girls all together and each row had 6 girls.",6n,n/6,,,,"Capraro, M. M., & Joffrion, H. (2006)
p. 10",
when students misinterpret slope signs in equations versus their upward or downward trends in graphs.,MaE40,"Patterns, relationships, and functions",4,How did you make a straight line come down or change direction?,"Using minus in the number that is alone in the equation, the one that is not multiplied by x","Changing the sign of the slope, the coefficient of the independent variable.",,,,"Kalchman, M., & Koedinger, K. R.  2005
p. 37","The learner left the positive sign to the slope, not relating that the line comes down by the effect of a negative slope"
"when Students think longer numerals mean larger numbers, misunderstanding place value",MaE05,Number sense,2,"Fill in the blank with >, < or =
0.9 __ 0.01",0.9 < 0.01,0.9 > 0.01,,,,"Ashlock, 2006
p. 141",The learner does not compare the total values of the numbers shown.
when students are unsure of the correct sign when adding positive and negative numbers,MaE18,Number Operations,2,5+-9=,5+-9=4,-4,,,,"Ashlock, 2006",
"when students mistakenly add two negative numbers, yielding a positive sum, particularly in equations with variables",MaE32,Properties of number and operations,2,"Simplify:
3(6x-4)+2(3x-3)",18x-12+6x-6=24x+18,24x-18,,,,"Bush, S. (2011)
p.192",
"when students struggle to connect different representations of the same function (graph, equation, table).",MaE41,"Patterns, relationships, and functions",2,"For the function f(x)=2x^2+3x-1, (i) make a table of data points and (ii) sketch a graph of the data","x   |    y
0   |    1
1  |   8
1.5    | 11.5  
5   |  36
-1  |  -6 
[No graph provided]","An example of possible correct answer is:
x   |   y
-4  | 19
-2  | 1  
  0  |  -1 
2  | 13
4  | 43
[The graph is a curved line that represents the parabolla given by the equation f(x)=2x^2+3x-1]",,,MaE41-Ex2CA,"Kalchman, M., & Koedinger, K. R.  2005
p. 3-8",
"Students misunderstand proportional relationships, not realizing parts must be equal in size.",MaE02,Number sense,4,Reduce 24/36 to lowest terms,24/36=12/18=5/9,2/3,,,,"Brown, G., & Quinn, R. J. 2006
p. 4",
when students struggle with forming and understanding algebraic expressions and equations.,MaE50,Equations and inequalities,4,"The first row of a concert hall has 10 seats. Each row thereafter has 2 more seats than the row in the front of it.
Let R represent the number of the row and let S represent the number of seats in that row. Can you give an equation for finding the number of seats?","You could do guess and check. For example if the last row has 50 seats, you do 50-8=42 and you would have to figure out what times 2 equals 42. That would be 21. It's easy, so you don't need an equation for finding the number of seats.",S=10+2(R-1),,,,"Brown, G., & Quinn, R. J.  2006, 
p. 7","The learner did not write the equation and rather, solved the problem by iteration and using inverse operations"
"when students struggle with plotting points, reversing the x- and y-coordinates",MaE43,Algebraic representations,4,Write down an example of a function. Represent that same function in four different ways,"The learner represented the function with the equation: x=1(y)+5
With the statement: ""Every hour you earn $5 more""
And with a data-table and a graph
Data table:
x | 1 |  2  |  3  |  4  | 5  
y | 5 | 10 | 15 | 20 | 25
On the graph, the learner plotted the y-data on the horizontal axis and the x-data on the vertical one","For the example provided by the student, the equation should be: y=5x
Data table:
x | 1 |  2  |  3  |  4  | 5  
y | 5 | 10 | 15 | 20 | 25
Graph: a straight line or a scatter plot with the x-data on the horizontal axis and the y-data on the vertical axis",,MaE43-Ex4LA,MaE43-Ex4CA,,"The learner understands the concept of a function and the different ways it can be represented, however, reversed the variables both in the equation and on the graph."
